link,name,adr,price,price_for_m2,total_area
https://www.reality.sk//byty/najatraktivnejsia-cena-znizena-o-11-tisic-2-izb-65m2-9m2-loggia-novostavba-koloseo/JuprcSzN5LW/,NAJATRAKTÍVNEJŠIA CENA ZNÍŽENÁ o 11 TISÍC. 2 izb 65m2 + 9m2 LOGGIA NOVOSTAVBA KOLOSEO, Bratislava-Ružinov  Tomášikova,218 000 ,3111 €/m²," 73,6 m²"
https://www.reality.sk//byty/najatraktivnejsia-cena-znizena-o-11-tisic-2-izb-65m2-9m2-loggia-novostavba-koloseo/JuB0cGF3NCK/,NAJATRAKTÍVNEJŠIA CENA ZNÍŽENÁ o 11 TISÍC. 2 izb 65m2 + 9m2 LOGGIA NOVOSTAVBA KOLOSEO, Bratislava-Nové Mesto  Tomášikova,218 000 ,3354 €/m², 65 m²
https://www.reality.sk//byty/2-5-izb-byt-s-balkonom-a-lodziou-teplicka-ul/JuqDKfNh4Z2/,"2,5 IZB. BYT S BALKÓNOM A LODŽIOU, TEPLICKÁ UL.", Bratislava-Nové Mesto  Teplická,174 900 ,2678 €/m²," 65,3 m²"
https://www.reality.sk//byty/exkluzivne-u-nas-predaj-velkeho-4-izb-s-terasou-na-dohnanyho-ul-nivy/JuzdHgC1sHn/,"Exkluzívne u nás predaj veľkého 4 izb. s terasou na Dohnányho ul., Nivy", Bratislava-Ružinov  Dohnányho,449 000 ,2079 €/m², 216 m²
https://www.reality.sk//byty/herrys-na-predaj-svetly-4-izbovy-byt-s-terasou-v-projekte-novy-ruzinov-bratislava-ruzinov/JuH2ZMUMS70/,"HERRYS - Na predaj svetlý 4-izbový byt s terasou v projekte Nový Ružinov, Bratislava – Ružinov", Bratislava-Ružinov  Na výslní,412 500 ,2498 €/m²," 165,14 m²"
https://www.reality.sk//byty/herrys-na-predaj-3-izbovy-byt-v-projekte-gastanova-rezidencia-horsky-park/Juel0h4-TFF/,HERRYS - Na predaj 3-izbový byt v projekte Gaštanová/Rezidencia Horský park, Bratislava-Staré Mesto  Gaštanová,380 000 ,5307 €/m²," 71,6 m²"
https://www.reality.sk//byty/exkluzivny-2-izbovy-byt-po-kompletnej-rekonstrukcii-v-centre-mesta/JuQOe5AAlj1Z/,Exkluzívny 2 izbový byt po kompletnej rekonštrukcii v centre mesta, Bratislava-Staré Mesto  Špitálska,270 506 ,5190 €/m²," 52,12 m²"
https://www.reality.sk//byty/na-predaj-2-izb-vo-vyhladavanej-stvrti-jegeho-alej-skolaudovana-novostavba-ihned-k-nastahovaniu/JuZoSFz9Cp4/,"Na predaj 2. izb. vo vyhľadávanej štvrti Jégeho alej, SKOLAUDOVANÁ NOVOSTAVBA ihneď k nasťahovaniu!", Bratislava-Ružinov  Trnavská cesta,273 934 ,4288 €/m²," 63,88 m²"
https://www.reality.sk//byty/novostavba-4-izb-byt-projekt-danubius-one-18-poschodie-panoramaticky-vyhlad-na-bratislavsky-hrad/JuqZ0Xnwxz_/,"NOVOSTAVBA 4 izb.byt, projekt Danubius ONE, 18. poschodie-panoramatický výhľad na Bratislavský hrad", Bratislava-Ružinov  jégeho alej,635 942 ,5376 €/m²," 118,29 m²"
https://www.reality.sk//byty/na-predaj-2-izb-priestranny-vo-vyhladavanej-stvrti-jegeho-alej-skolaudovana-novostavba-ihned-k-nastahovaniu/JuB87kjcOa8/,"Na predaj 2. izb. priestranný  vo vyhľadávanej štvrti Jégeho alej, SKOLAUDOVANÁ NOVOSTAVBA, ihneď k nasťahovaniu!", Bratislava-Ružinov  Trnavská cesta,276 995 ,4390 €/m²," 63,1 m²"
https://www.reality.sk//byty/slnecny-3-izb-1203-c-novostavba-v-projekte-danubius-one-s-vyhladom-na-bratislavsky-hrad-bonus-10-000-na-vybavenie/JuyY-JcMdQH/,"Slnečný 3-izb.(1203.C), NOVOSTAVBA v projekte DANUBIUS ONE s výhľadom na Bratislavský hrad, bonus 10 000 € na vybavenie.", Bratislava-Ružinov  Trnavská cesta,437 989 ,4771 €/m²," 91,8 m²"
https://www.reality.sk//byty/novostavba-3-izb-byt-v-projekte-danubius-one-s-vyhladom-na-bratislavsky-hrad-bonus-10-000-na-vybavenie/JuVp0VaQGhr/,"NOVOSTAVBA 3 izb. byt v projekte Danubius ONE s výhľadom na Bratislavský hrad, bonus 10 000 € na vybavenie", Bratislava-Ružinov  Jégého,446 255 ,4788 €/m²," 93,2 m²"
https://www.reality.sk//byty/novostavba-4-izb-byt-skolaudovany-projekt-danubius-one-23-poschodie-panoramaticky-vyhlad-na-bratislavsky-hrad/JuK3fPTKN3G/,"NOVOSTAVBA 4 izb.byt, skolaudovaný projekt Danubius ONE, 23. poschodie-panoramatický výhľad na Bratislavský hrad", Bratislava-Ružinov  Jégeho,689 085 ,5820 €/m²," 118,4 m²"
