link,name,adr,price,price_for_m2,total_area
https://www.nehnutelnosti.sk/5310488/herrys-na-predaj-velkometrazny-2-izbovy-byt-so-samostatnou-kuchynou-na-palisadach-stetinova-ulica/,"HERRYS- Na predaj veľkometrážny 2-izbový byt so samostatnou kuchyňou na Palisádach, Štetinová ulica","Štetinova, Bratislava I - Staré Mesto, okres Bratislava",279 900 €,"3 498,75 €/m²",80 m²
https://www.nehnutelnosti.sk/5255262/herrys-na-predaj-vynimocny-3-izbovy-byt-vo-vynimocnej-lokalite-pod-bratislavskym-hradom/,HERRYS - Na predaj výnimočný 3-izbový byt vo výnimočnej lokalite pod Bratislavským hradom,"Palisády, Bratislava I - Staré Mesto, okres Bratislava",499 000 €,"4 726,72 €/m²","105,57 m²"
https://www.nehnutelnosti.sk/5323627/herrys-na-predaj-kompletne-zrekonstruovany-3-izbovy-byt-s-krasnym-vyhladom-na-dubravske-lesy/,HERRYS - Na predaj kompletne zrekonštruovaný 3-izbový byt s krásnym výhľadom na dúbravské lesy,"Karola Adlera, Bratislava IV - Dúbravka, okres Bratislava",189 900 €,"2 693,62 €/m²","70,5 m²"
https://www.nehnutelnosti.sk/5197259/herrys-na-predaj-2-izbovy-byt-s-peknym-vyhladom-v-devinskej-novej-vsi/,HERRYS - Na predaj 2-izbový byt s pekným výhľadom v Devínskej Novej Vsi,"Eisnerova, Bratislava IV - Devínska Nová Ves, okres Bratislava",190 000 €,"2 818,99 €/m²","67,4 m²"
https://www.nehnutelnosti.sk/4808544/investicia-predaj-prenajateho-3-izb-bytu-s-parkovanim-v-blizkosti-volkswagenu-v-ba-iv-devinska/,"INVESTÍCIA - predaj prenajatého 3 izb. bytu  s parkovaním, v blízkosti Volkswagenu v BA IV-Devínska","Jána Jonáša, Bratislava IV - Devínska Nová Ves, okres Bratislava",176 900 €,"2 297,40 €/m²",77 m²
https://www.nehnutelnosti.sk/5325603/dvojizbovy-byt-na-predaj-na-zaciatku-petrzalky/,Dvojizbový byt na predaj na začiatku Petržalky,"Pečnianska, Bratislava V - Petržalka, okres Bratislava",160 000 €,"3 404,26 €/m²",47 m²
https://www.nehnutelnosti.sk/5260806/halo-reality-predaj-dvojizbovy-byt-bratislava-karlova-ves-gabcikova-exkluzivne-halo-reality/,"HALO reality - Predaj, dvojizbový byt Bratislava Karlova Ves, Gabčíkova - EXKLUZÍVNE HALO REALITY","Bratislava IV - Karlova Ves, okres Bratislava",159 000 €,3 000 €/m²,53 m²
https://www.nehnutelnosti.sk/5285258/halo-reality-predaj-jednoizbovy-byt-bratislava-lamac-studenohorska-exkluzivne-halo-reality/,"HALO reality - Predaj, jednoizbový byt Bratislava Lamač, Studenohorská - EXKLUZÍVNE HALO REALITY","Bratislava IV - Lamač, okres Bratislava",129 990 €,"3 023,02 €/m²",43 m²
https://www.nehnutelnosti.sk/5298486/halo-reality-predaj-trojizbovy-byt-bratislava-nove-mesto-pri-bielom-krizi-exkluzivne-halo-real/,"HALO reality - Predaj, trojizbový byt Bratislava Nové Mesto, Pri Bielom kríži - EXKLUZÍVNE HALO REAL","Pri Bielom kríži, Bratislava III - Nové Mesto, okres Bratislava",259 900 €,"3 560,27 €/m²",73 m²
https://www.nehnutelnosti.sk/5335500/predaj-3-izbovy-byt-93-m2-3-lodzie-bratislava/,"PREDAJ: 3 izbový byt, 93 m2 + 3 lodžie, Bratislava","Račianska, Bratislava III - Nové Mesto, okres Bratislava",164 990 €,"1 774,09 €/m²",93 m²
https://www.nehnutelnosti.sk/5332010/predaj-nadstandardne-zrekonstruovaneho-2-izboveho-bytu-ul-topolcianska-bav-petrzalka/,"Predaj nadštandardne zrekonštruovaného 2 izbového bytu, ul. Topoľčianska, BAV - Petržalka","Topoľčianska, Bratislava V - Petržalka, okres Bratislava",144 000 €,"3 682,86 €/m²","39,1 m²"
https://www.nehnutelnosti.sk/5289955/2-izb-byt-v-novostavbe-teslova-ul/,"2 izb. byt v novostavbe, TESLOVA ul.","Teslova, Bratislava II - Ružinov, okres Bratislava",279 900 €,"4 353,71 €/m²","64,29 m²"
https://www.nehnutelnosti.sk/5347110/na-predaj-1izbovy-byt-v-karlovej-vsi-na-silvanskej-ul/,Na predaj 1izbový byt v Karlovej Vsi na Silvánskej ul.,"Silvánska, Bratislava IV - Karlova Ves, okres Bratislava",119 900 €,"3 867,74 €/m²",31 m²
https://www.nehnutelnosti.sk/5324669/arvin-benet-sukromie-zelen-akralovska-terasa/,"Arvin & Benet | Súkromie, zeleň a kráľovská terasa","Riazanská, Bratislava III - Nové Mesto, okres Bratislava",369 000 €,"3 029,56 €/m²","121,8 m²"
https://www.nehnutelnosti.sk/5324670/arvin-benet-krasny-byt-a-skvostne-vyhlady-na-kamzik/,Arvin & Benet | Krásny byt a skvostné výhľady na Kamzík,"Riazanská, Bratislava III - Nové Mesto, okres Bratislava",335 000 €,"4 472,63 €/m²","74,9 m²"
https://www.nehnutelnosti.sk/4938820/nadstandardny-3-izbovy-apartman-v-premiovom-projekte-v-blizkosti-downtownu-112-m2/,"NADŠTANDARDNÝ 3-IZBOVÝ APARTMÁN V PRÉMIOVOM PROJEKTE V BLÍZKOSTI DOWNTOWNU, 112 M2","Prístavná, Bratislava II - Ružinov, okres Bratislava",385 000 €,"3 437,50 €/m²",112 m²
https://www.nehnutelnosti.sk/5344872/2-izbovy-byt-50-m2-v-novostavbe-kopcianka-parking-pivnica/,"2 izbový byt 50 m2 v novostavbe Kopčianka + parking, pivnica","Kopčianska, Bratislava V - Petržalka, okres Bratislava",179 900 €,3 598 €/m²,50 m²
