link,name,adr,price
https://www.nehnutelnosti.sk/5114939/herrys-na-predaj-uplne-novy-4-izbovy-byt-s-dvoma-kupelnami-v-novostavbe-ceresne-parking/,"HERRYS - Na predaj úplne nový 4 izbový byt s dvoma kúpeľňami v novostavbe Čerešne, parking","Polianky, Bratislava IV - Dúbravka, okres Bratislava",379 000 €
https://www.nehnutelnosti.sk/5143263/herrys-na-predaj-3-izbovy-byt-v-projekte-gastanova-rezidencia-horsky-park/,HERRYS - Na predaj 3-izbový byt v projekte Gaštanová/Rezidencia Horský park,"Gaštanová, Bratislava I - Staré Mesto, okres Bratislava",380 000 €
https://www.nehnutelnosti.sk/5114939/herrys-na-predaj-uplne-novy-4-izbovy-byt-s-dvoma-kupelnami-v-novostavbe-ceresne-parking/,"HERRYS - Na predaj úplne nový 4 izbový byt s dvoma kúpeľňami v novostavbe Čerešne, parking","Polianky, Bratislava IV - Dúbravka, okres Bratislava",379 000 €
https://www.nehnutelnosti.sk/5018705/herrys-na-predaj-3-izbovy-byt-v-dubravke/,HERRYS - na predaj 3 izbový byt v Dúbravke,"Dúbravčická, Bratislava IV - Dúbravka, okres Bratislava",210 000 €
https://www.nehnutelnosti.sk/5028108/moruse-skolaudovane-v-ponuke-2i-byt-za-bezkonkurencnu-cenu/,Moruše  SKOLAUDOVANÉ- v ponuke 2i byt za bezkonkurenčnú cenu!,"Ivanska cesta, Bratislava II - Ružinov, okres Bratislava",159 900 €
https://www.nehnutelnosti.sk/4946380/herrys-na-predaj-slnecny-2-izbovy-byt-vo-vynikajucej-lokalite-v-novej-dobe-pri-vivo-poluse/,HERRYS - Na predaj slnečný 2 izbový byt vo vynikajúcej lokalite v Novej Dobe pri Vivo (Poluse),"Vajnorská, Bratislava III - Nové Mesto, okres Bratislava",159 000 €
https://www.nehnutelnosti.sk/5325603/dvojizbovy-byt-na-predaj-na-zaciatku-petrzalky/,Dvojizbový byt na predaj na začiatku Petržalky,"Pečnianska, Bratislava V - Petržalka, okres Bratislava",160 000 €
https://www.nehnutelnosti.sk/5219595/halo-reality-predaj-trojizbovy-byt-bratislava-petrzalka-andrusovova-iba-u-nas/,"HALO reality - Predaj, trojizbový byt Bratislava Petržalka, Andrusovova - IBA U NÁS","Bratislava V - Petržalka, okres Bratislava",159 000 €
https://www.nehnutelnosti.sk/5316317/halo-reality-predaj-trojizbovy-byt-bratislava-karlova-ves-hany-melickovej-iba-u-nas/,"HALO reality - Predaj, trojizbový byt Bratislava Karlova Ves, Hany Meličkovej - IBA U NÁS","Bratislava IV - Karlova Ves, okres Bratislava",189 990 €
https://www.nehnutelnosti.sk/5285258/halo-reality-predaj-jednoizbovy-byt-bratislava-lamac-studenohorska-exkluzivne-halo-reality/,"HALO reality - Predaj, jednoizbový byt Bratislava Lamač, Studenohorská - EXKLUZÍVNE HALO REALITY","Bratislava IV - Lamač, okres Bratislava",129 990 €
https://www.nehnutelnosti.sk/5260806/halo-reality-predaj-dvojizbovy-byt-bratislava-karlova-ves-gabcikova-exkluzivne-halo-reality/,"HALO reality - Predaj, dvojizbový byt Bratislava Karlova Ves, Gabčíkova - EXKLUZÍVNE HALO REALITY","Bratislava IV - Karlova Ves, okres Bratislava",159 000 €
https://www.nehnutelnosti.sk/5298486/halo-reality-predaj-trojizbovy-byt-bratislava-nove-mesto-pri-bielom-krizi-exkluzivne-halo-real/,"HALO reality - Predaj, trojizbový byt Bratislava Nové Mesto, Pri Bielom kríži - EXKLUZÍVNE HALO REAL","Pri Bielom kríži, Bratislava III - Nové Mesto, okres Bratislava",259 900 €
https://www.nehnutelnosti.sk/5335500/predaj-3-izbovy-byt-93-m2-3-lodzie-bratislava/,"PREDAJ: 3 izbový byt, 93 m2 + 3 lodžie, Bratislava","Račianska, Bratislava III - Nové Mesto, okres Bratislava",164 990 €
