,link,name,adr,price,price_for_m2,total_area
7231,https://www.reality.sk//byty/1-izbovy-svetly-byt-po-rekonstrukcii-garsonka-na-predaj-na-florianskom-namesti-v-bratislave-stare-mesto/Ju81ULwLLU6/,1-izbový svetlý byt po rekonštrukcii (garsónka) na predaj na Floriánskom námestí v Bratislave – Staré Mesto,floriánskenámestiestarémesto,169000.0,4971.0,34
10785,https://www.topreality.sk/1-izbovy-svetly-byt-po-rekonstrukcii-garsonka-na-predaj-na-florianskom-namesti-v-bratislave-stare-mesto-r7995108.html,1-izbový svetlý byt po rekonštrukcii (garsónka) na predaj na Floriánskom námestí v Bratislave – Staré Mesto,floriánskenámestiestarémesto,169055.0,4970.592,34
6626,https://www.reality.sk//byty/2-izb-slnecny-byt-na-komarnickej-ul/Juxo1kmqbfQ/,2 - izb. slnečný byt na Komárnickej ul.,komárnickáružinov,170000.0,3044.0,56
10708,https://www.topreality.sk/2-izb-slnecny-byt-na-komarnickej-ul-r8484971.html,2 - izb. slnečný byt na Komárnickej ul.,komárnickáružinov,170196.0,3043.872,56
3696,https://www.nehnutelnosti.sk/5299412/2-izb-slnecny-byt-na-komarnickej-ul/,2 - izb. slnečný byt na Komárnickej ul.,komárnickáružinov,170000.0,3043.87,56
4661,https://www.reality.sk//byty/2-izbovy-byt-na-strkovci-pri-jazere-so-zariadenim-rekonstrukcia/JuKDXf7dJFa/,"2 IZBOVÝ BYT NA ŠTRKOVCI PRI JAZERE, so zariadením, rekonštrukcia",stropkovskáružinov,224000.0,4000.0,56
8077,https://www.topreality.sk/2-izbovy-byt-na-strkovci-pri-jazere-so-zariadenim-rekonstrukcia-r8503068.html,"2 IZBOVÝ BYT NA ŠTRKOVCI PRI JAZERE, so zariadením, rekonštrukcia",stropkovskáružinov,224150.0,4000.002,56
1096,https://www.nehnutelnosti.sk/5319166/2-izbovy-byt-na-strkovci-pri-jazere-so-zariadenim-rekonstrukcia/,"2 IZBOVÝ BYT NA ŠTRKOVCI PRI JAZERE, so zariadením, rekonštrukcia",stropkovskáružinov,224000.0,4000.0,56
3438,https://www.nehnutelnosti.sk/5342149/2-garsonka-deluxe-s-loggiou-fedinova/,2 garsónka DELUXE s loggiou Fedinova,fedinovapetržalka,155000.0,3220.44,48
3437,https://www.nehnutelnosti.sk/5342146/2-garsonka-deluxe-s-loggiou-fedinova/,2 garsónka DELUXE s loggiou Fedinova,fedinovapetržalka,155000.0,3220.44,48
10629,https://www.topreality.sk/2-garsonka-deluxe-s-loggiou-fedinova-r8523942.html,2 garsónka DELUXE s loggiou Fedinova,fedinovapetržalka,155152.0,3220.442,48
10648,https://www.topreality.sk/2-garsonka-deluxe-s-loggiou-fedinova-r8523945.html,2 garsónka DELUXE s loggiou Fedinova,fedinovapetržalka,155152.0,3220.442,48
6414,https://www.reality.sk//byty/2-izb-byt-moldavska-ul-3-3-posch-balkon/JuSV_H87pPx/,"2 izb. byt Moldavská ul., 3/3 posch., balkón",moldavskáružinov,165000.0,3113.0,53
10261,https://www.topreality.sk/2-izb-byt-moldavska-ul-3-3-posch-balkon-r8527019.html,"2 izb. byt Moldavská ul., 3/3 posch., balkón",moldavskáružinov,165150.0,3113.212,53
1421,https://www.nehnutelnosti.sk/5345388/2-izb-byt-moldavska-ul-3-3-posch-balkon/,"2 izb. byt Moldavská ul., 3/3 posch., balkón",moldavskáružinov,165000.0,3113.21,53
10989,https://www.topreality.sk/2-izb-byt-v-projekte-zuckermandel-r8469120.html,2 izb. byt v projekte Zuckermandel,žižkovastarémesto,285170.0,6627.912,43
7017,https://www.reality.sk//byty/2-izb-byt-v-projekte-zuckermandel/Ju7nNZFbzTt/,2 izb. byt v projekte Zuckermandel,žižkovastarémesto,285000.0,6628.0,43
3607,https://www.nehnutelnosti.sk/4715793/2-izbovy-apartman-s-balkonom-v-premiovej-lokalite/,2 izbový apartmán s balkónom v prémiovej lokalite,záhorskábystrica,176000.0,3423.46,51
3601,https://www.nehnutelnosti.sk/4715769/2-izbovy-apartman-s-balkonom-v-premiovej-lokalite/,2 izbový apartmán s balkónom v prémiovej lokalite,záhorskábystrica,175000.0,3404.01,51
3618,https://www.nehnutelnosti.sk/4715784/2-izbovy-apartman-s-balkonom-v-premiovej-lokalite/,2 izbový apartmán s balkónom v prémiovej lokalite,záhorskábystrica,174000.0,3384.56,51
2366,https://www.nehnutelnosti.sk/5377289/2-izbovy-byt-na-zaciatku-karlovej-vsi-s-nadhernym-vyhladom/,2 izbový byt na začiatku Karlovej Vsi  s nádherným výhľadom,jurigovonám.karlovaves,149000.0,2709.09,55
5599,https://www.reality.sk//byty/2-izbovy-byt-na-zaciatku-karlovej-vsi-s-nadhernym-vyhladom/JuPWFgo0eoS/,2 izbový byt na začiatku Karlovej Vsi  s nádherným výhľadom,jurigovonám.karlovaves,149000.0,2709.0,55
9389,https://www.topreality.sk/2-izbovy-byt-na-zaciatku-karlovej-vsi-s-nadhernym-vyhladom-r8556495.html,2 izbový byt na začiatku Karlovej Vsi  s nádherným výhľadom,jurigovonám.karlovaves,149159.0,2709.092,55
3641,https://www.nehnutelnosti.sk/4715751/2-izbovy-byt-s-balkonom-v-premiovej-lokalite/,2 izbový byt s balkónom v prémiovej lokalite,záhorskábystrica,192000.0,3734.68,51
